epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.8437532782554626,0.6294384598731995,0.31073006987571716,0.8195727467536926,0.6095867156982422,0.38388141989707947
1,0.8478814959526062,0.6390529870986938,0.29341670870780945,0.8699557185173035,0.6594027280807495,0.25735601782798767
2,0.8480330109596252,0.6394806504249573,0.2910690903663635,0.8078356981277466,0.5963564515113831,0.438324511051178
3,0.849364697933197,0.643492579460144,0.2894674837589264,0.8525430560112,0.6475176215171814,0.3124634027481079
4,0.850104033946991,0.6431508660316467,0.2888295352458954,0.8301526308059692,0.6220929026603699,0.3667892515659332
5,0.8487585783004761,0.640792727470398,0.2877548336982727,0.8540124297142029,0.6487144827842712,0.291871041059494
6,0.848639190196991,0.6413132548332214,0.2871977686882019,0.8411365747451782,0.6351504325866699,0.35002219676971436
7,0.8486529588699341,0.6423255205154419,0.2869740426540375,0.839281439781189,0.6328675746917725,0.3366984724998474
8,0.8480192422866821,0.6416661143302917,0.2863426208496094,0.8407692313194275,0.6348221302032471,0.3251667320728302
9,0.849213182926178,0.642092227935791,0.28651341795921326,0.8412284255027771,0.6353461146354675,0.3448604345321655
10,0.8495162129402161,0.6433489918708801,0.2858600914478302,0.8457469344139099,0.6403440833091736,0.3165832459926605
11,0.8496953248977661,0.6433862447738647,0.28557851910591125,0.8586044311523438,0.6538604497909546,0.2948515713214874
12,0.8506688475608826,0.643864095211029,0.28530800342559814,0.8349466323852539,0.6277575492858887,0.35289233922958374
13,0.8492407202720642,0.6427517533302307,0.28533750772476196,0.8553900122642517,0.6509650945663452,0.3053106367588043
14,0.8497779965400696,0.6456142067909241,0.28489142656326294,0.848042905330658,0.6432942748069763,0.33381563425064087
15,0.8501636981964111,0.643059492111206,0.2846923768520355,0.8565104603767395,0.6513622999191284,0.2977170944213867
16,0.8507147431373596,0.6453856825828552,0.28467825055122375,0.8444244265556335,0.6393238306045532,0.33073890209198
17,0.8508203625679016,0.6449549794197083,0.2841997444629669,0.8493102788925171,0.6445849537849426,0.31866174936294556
18,0.849833071231842,0.6428162455558777,0.2843590974807739,0.8505592942237854,0.6458241939544678,0.3320692777633667
19,0.8503014445304871,0.645592987537384,0.28398823738098145,0.8601840734481812,0.6559658646583557,0.275010347366333
