epoch,accuracy,loss,ones_f_score,val_accuracy,val_loss,val_ones_f_score
0,0.8496218323707581,0.6429151296615601,0.28577545285224915,0.8373711705207825,0.6307035088539124,0.35632041096687317
1,0.8483406901359558,0.642043948173523,0.2854405641555786,0.8551880121231079,0.6499351263046265,0.29543429613113403
2,0.8492498993873596,0.6424737572669983,0.2848189175128937,0.8571900725364685,0.651935875415802,0.2942101061344147
3,0.8496401906013489,0.6434226632118225,0.28442490100860596,0.8431203365325928,0.6371269822120667,0.33665376901626587
4,0.8497458100318909,0.6445943713188171,0.2842060923576355,0.8384365439414978,0.6328251361846924,0.3428588807582855
5,0.8484417200088501,0.6430633664131165,0.28425443172454834,0.857061505317688,0.6533558368682861,0.2879538834095001
6,0.848473846912384,0.6420362591743469,0.2836206555366516,0.8517164587974548,0.6473501920700073,0.2947159707546234
7,0.8490570187568665,0.6422863602638245,0.28341934084892273,0.8382712006568909,0.6316472887992859,0.3366393744945526
8,0.8497503995895386,0.643800675868988,0.2833504378795624,0.8548022508621216,0.6495079398155212,0.2941305339336395
9,0.8503978848457336,0.644406259059906,0.2831778824329376,0.8498062491416931,0.6451479196548462,0.3309936225414276
10,0.8505678176879883,0.6461476683616638,0.28288429975509644,0.8380140662193298,0.6321362257003784,0.34517914056777954
11,0.8493371605873108,0.6432028412818909,0.2831076681613922,0.8593391180038452,0.655095636844635,0.2858045995235443
12,0.8504392504692078,0.6433761715888977,0.282473623752594,0.8327975869178772,0.6258007884025574,0.36619383096694946
13,0.8516010046005249,0.646579384803772,0.2823229134082794,0.8535716533660889,0.6494423747062683,0.3077428340911865
14,0.8511601686477661,0.6469550728797913,0.28246262669563293,0.8460959196090698,0.6413938999176025,0.3230989873409271
15,0.8507698178291321,0.644932210445404,0.28252795338630676,0.8470326662063599,0.6423280835151672,0.34270352125167847
16,0.8523219227790833,0.6472140550613403,0.2822951376438141,0.8426611423492432,0.6377647519111633,0.34214165806770325
17,0.8517341613769531,0.6456066966056824,0.2825290560722351,0.8459489941596985,0.6414238214492798,0.3095923364162445
18,0.8504989147186279,0.6454845070838928,0.28222671151161194,0.8465734720230103,0.6425639390945435,0.3307757079601288
19,0.8518306016921997,0.6480662822723389,0.2818374037742615,0.8491817116737366,0.6449269652366638,0.3234787881374359
20,0.8515183329582214,0.6460591554641724,0.2818787097930908,0.8524512052536011,0.6487739682197571,0.3089612126350403
21,0.8524872660636902,0.6477603316307068,0.2820253372192383,0.8515511751174927,0.6478596329689026,0.30256906151771545
0,0.8498790264129639,0.644280195236206,0.2826894223690033,0.859522819519043,0.6552401781082153,0.29334166646003723
0,0.8234797120094299,0.6091630458831787,0.334329754114151,0.8410815000534058,0.6351607441902161,0.34845614433288574
1,0.8493325710296631,0.6414839029312134,0.2929253876209259,0.8225483298301697,0.6131197214126587,0.3914806544780731
2,0.8485748767852783,0.6424170136451721,0.2910577952861786,0.83860182762146,0.6317358016967773,0.3356277644634247
3,0.8486575484275818,0.64163738489151,0.2901134788990021,0.8542144894599915,0.6496626734733582,0.29796192049980164
