epoch,accuracy,loss,val_accuracy,val_loss
0,0.8815682530403137,0.23856186866760254,0.8885990977287292,0.2265206128358841
1,0.8874322175979614,0.21886016428470612,0.8847418427467346,0.2213156819343567
2,0.8881485462188721,0.21812750399112701,0.8895358443260193,0.2184097319841385
3,0.8887730836868286,0.2172597050666809,0.888709306716919,0.21728907525539398
4,0.8886904120445251,0.2167574167251587,0.8822254538536072,0.225989431142807
5,0.8886904120445251,0.2163354754447937,0.8869643211364746,0.2202899008989334
6,0.8886812329292297,0.21591009199619293,0.8869643211364746,0.21797987818717957
7,0.8887914419174194,0.21564124524593353,0.8888929486274719,0.21678577363491058
8,0.8890072703361511,0.21549129486083984,0.8878459930419922,0.2160472571849823
9,0.8891312479972839,0.2153383195400238,0.8896644115447998,0.21663816273212433
10,0.8891083002090454,0.21530617773532867,0.8894256353378296,0.21550124883651733
11,0.8891220688819885,0.21507710218429565,0.8879562020301819,0.2179284542798996
12,0.889567494392395,0.21500465273857117,0.8893521428108215,0.21701130270957947
13,0.889461874961853,0.21483908593654633,0.8891133666038513,0.21722450852394104
14,0.8898475766181946,0.21440941095352173,0.8882501125335693,0.2151753008365631
15,0.8901782035827637,0.21434548497200012,0.8898297548294067,0.2158922553062439
16,0.8897649645805359,0.21415437757968903,0.8877909183502197,0.2164267748594284
17,0.8900450468063354,0.21423251926898956,0.8874419331550598,0.21882204711437225
18,0.8900725841522217,0.21407583355903625,0.8909685611724854,0.21444222331047058
19,0.8899853229522705,0.21417942643165588,0.8902154564857483,0.21476203203201294
20,0.8900542259216309,0.21398860216140747,0.890748143196106,0.21432383358478546
21,0.8903802633285522,0.21366871893405914,0.8903807401657104,0.21451708674430847
22,0.8902884125709534,0.21381239593029022,0.8893337845802307,0.21503353118896484
23,0.8899118900299072,0.21374310553073883,0.8894807696342468,0.21506434679031372
24,0.8904721140861511,0.2135937213897705,0.8903440237045288,0.21717190742492676
25,0.8905088305473328,0.2136727273464203,0.8904175162315369,0.21442724764347076
26,0.8905777335166931,0.2134958654642105,0.8903807401657104,0.21528738737106323
27,0.890430748462677,0.21341785788536072,0.8911154866218567,0.21399465203285217
28,0.8905180096626282,0.2132568061351776,0.8906379342079163,0.2141353040933609
