epoch,accuracy,loss,val_accuracy,val_loss
0,0.8521237373352051,0.3313339054584503,0.7735849022865295,0.43106594681739807
1,0.8809648752212524,0.28088700771331787,0.8406708836555481,0.3504399359226227
2,0.8977451324462891,0.2616024315357208,0.7756813168525696,0.4461212456226349
3,0.9181961417198181,0.21859930455684662,0.8427672982215881,0.3581618368625641
4,0.9391714930534363,0.18590514361858368,0.7756813168525696,0.4296822249889374
5,0.931830108165741,0.18461835384368896,0.7693920135498047,0.4492647051811218
6,0.9596224427223206,0.13840417563915253,0.8071278929710388,0.3979548215866089
7,0.977451503276825,0.11185041069984436,0.7882599830627441,0.41557419300079346
8,0.9779759049415588,0.09665678441524506,0.8385744094848633,0.41499534249305725
9,0.9858416318893433,0.08069249242544174,0.8364779949188232,0.41306132078170776
