epoch,accuracy,loss,val_accuracy,val_loss
0,0.7058206796646118,0.6181408762931824,0.6645702123641968,0.6072783470153809
1,0.7220765352249146,0.5806641578674316,0.698113203048706,0.6114291548728943
2,0.7346617579460144,0.6108208298683167,0.6834381818771362,0.573733925819397
3,0.7226009368896484,0.6196794509887695,0.6834381818771362,0.7382420897483826
4,0.7414787411689758,0.5805215239524841,0.6373165845870972,0.6927334070205688
5,0.7519664168357849,0.543243944644928,0.7085953950881958,0.5690702795982361
6,0.7378080487251282,0.6009014248847961,0.6079664826393127,0.9498794078826904
7,0.7446250915527344,0.5718408226966858,0.7064989805221558,0.6721842288970947
8,0.6990036964416504,0.6596203446388245,0.6939203143119812,0.768151581287384
9,0.7640272974967957,0.5479528903961182,0.698113203048706,0.6871393918991089
