epoch,accuracy,loss,val_accuracy,val_loss
0,0.7026743292808533,0.5791767239570618,0.704402506351471,0.5893985629081726
1,0.7094913721084595,0.5638015866279602,0.6897274851799011,0.5979936718940735
2,0.7226009368896484,0.5555086135864258,0.6855345964431763,0.6016499400138855
3,0.7184059023857117,0.550596296787262,0.6918238997459412,0.5923553109169006
4,0.7304667234420776,0.5455865263938904,0.6918238997459412,0.5977449417114258
5,0.7336130142211914,0.5321471095085144,0.6645702123641968,0.6341168880462646
6,0.7304667234420776,0.5359203219413757,0.7023060917854309,0.586279034614563
7,0.7241740822792053,0.5367338061332703,0.7023060917854309,0.5904846787452698
8,0.7441006898880005,0.5312254428863525,0.7064989805221558,0.5854915976524353
9,0.7441006898880005,0.5243650674819946,0.704402506351471,0.5906582474708557
