epoch,accuracy,loss,val_accuracy,val_loss
0,0.6109071969985962,56.00199508666992,0.6876310110092163,6.916890621185303
1,0.7005768418312073,4.3277201652526855,0.6373165845870972,1.853309154510498
2,0.7189302444458008,1.304857850074768,0.5178197026252747,5.825927734375
3,0.7121132612228394,1.6149917840957642,0.7148846983909607,1.134993314743042
0,0.5836392045021057,77.04264831542969,0.5765199065208435,29.7287654876709
1,0.6990036964416504,11.05113697052002,0.6834381818771362,4.773913860321045
2,0.7304667234420776,2.5296990871429443,0.5828092098236084,3.1215391159057617
3,0.7729417681694031,1.3581892251968384,0.7106918096542358,1.3353354930877686
4,0.7713686227798462,1.1768865585327148,0.6897274851799011,1.9249942302703857
5,0.7797588109970093,1.3590954542160034,0.6205450892448425,4.861169815063477
6,0.8169900178909302,0.974235475063324,0.7064989805221558,1.2654788494110107
